"Class","apaac_0","apaac_1","apaac_2","apaac_3","apaac_4","apaac_5","apaac_6","apaac_7","apaac_8","apaac_9","apaac_10","apaac_11","apaac_12","apaac_13","apaac_14","apaac_15","apaac_16","apaac_17","apaac_18","apaac_19","apaac_20","apaac_21","apaac_22","apaac_23","apaac_24","apaac_25"
1,0.129,0.002,0.061,0.095,0.025,0.068,0.018,0.066,0.081,0.061,0.018,0.047,0.047,0.036,0.029,0.034,0.045,0.088,0.005,0.016,-0.003,0.005,0.016,-0.008,0.003,0.015
1,0.113,0,0.06,0.097,0.032,0.074,0.019,0.06,0.072,0.055,0.016,0.035,0.051,0.026,0.025,0.055,0.063,0.086,0.005,0.014,-0.001,0.009,0.019,-0.004,0.002,0.019
1,0.116,0.002,0.063,0.096,0.025,0.067,0.025,0.065,0.072,0.054,0.022,0.038,0.049,0.025,0.031,0.052,0.052,0.09,0.009,0.011,0,0.008,0.02,-0.005,-0.001,0.015
1,0.11,0.008,0.035,0.081,0.025,0.11,0.017,0.079,0.064,0.06,0.025,0.037,0.035,0.027,0.025,0.037,0.066,0.106,0.002,0.025,-0.002,-0.006,0.016,0.003,-0.002,0.016
1,0.1,0.004,0.042,0.089,0.029,0.11,0.017,0.071,0.071,0.079,0.017,0.039,0.037,0.015,0.031,0.044,0.062,0.089,0.002,0.023,0.004,0.001,0.015,-0.001,0.001,0.011
1,0.107,0.006,0.042,0.09,0.032,0.109,0.015,0.071,0.071,0.076,0.021,0.042,0.032,0.027,0.021,0.048,0.057,0.09,0,0.025,-0.003,-0.001,0.011,-0.001,-0.002,0.012
1,0.091,0.003,0.052,0.08,0.02,0.086,0.019,0.083,0.075,0.071,0.024,0.042,0.032,0.034,0.034,0.049,0.069,0.112,0.002,0.012,0.001,0,0.013,-0.007,-0.007,0.009
1,0.081,0.007,0.056,0.086,0.014,0.078,0.014,0.093,0.073,0.071,0.025,0.056,0.034,0.022,0.042,0.058,0.066,0.1,0.002,0.014,-0.001,0.002,0.009,-0.008,-0.006,0.012
1,0.102,0.002,0.074,0.08,0.038,0.078,0.01,0.086,0.062,0.054,0.03,0.046,0.028,0.03,0.056,0.036,0.074,0.098,0.004,0.012,-0.01,-0.003,0.006,-0.002,0,0.005
1,0.109,0.008,0.055,0.077,0.047,0.083,0.017,0.058,0.064,0.06,0.026,0.04,0.041,0.019,0.045,0.049,0.047,0.087,0.009,0.028,0.008,0.007,0.011,-0.005,-0.004,0.013
1,0.104,0.005,0.052,0.083,0.038,0.085,0.035,0.059,0.066,0.071,0.019,0.04,0.038,0.035,0.04,0.035,0.05,0.087,0,0.038,0.003,0.004,0.01,-0.002,-0.002,0.006
1,0.104,0.005,0.046,0.082,0.036,0.084,0.029,0.053,0.063,0.092,0.024,0.043,0.041,0.029,0.036,0.036,0.058,0.094,0.002,0.039,0.002,-0.003,0.009,-0.003,-0.005,0.003
1,0.078,0.011,0.071,0.091,0.062,0.062,0.023,0.062,0.064,0.089,0.027,0.05,0.055,0.023,0.048,0.046,0.046,0.066,0.009,0.032,-0.009,-0.008,0.004,-0.006,0.001,0.004
1,0.069,0.011,0.064,0.105,0.069,0.069,0.027,0.066,0.059,0.096,0.032,0.041,0.057,0.014,0.053,0.046,0.05,0.048,0.009,0.03,-0.005,-0.003,0,-0.009,-0.001,0.003
1,0.068,0.005,0.061,0.102,0.041,0.07,0.024,0.073,0.058,0.107,0.027,0.049,0.041,0.019,0.053,0.039,0.058,0.066,0.002,0.034,0.004,0.006,0.001,-0.008,-0.012,0.011
1,0.069,0.012,0.075,0.084,0.042,0.078,0.036,0.051,0.087,0.096,0.033,0.036,0.024,0.03,0.039,0.042,0.063,0.072,0.009,0.027,-0.007,0.003,-0.001,-0.001,-0.005,0.002
1,0.087,0.006,0.063,0.096,0.06,0.075,0.03,0.039,0.072,0.102,0.027,0.039,0.027,0.027,0.042,0.033,0.066,0.081,0.009,0.03,-0.001,0.008,-0.003,-0.006,-0.01,0.001
1,0.101,0.009,0.043,0.073,0.039,0.108,0.017,0.067,0.06,0.056,0.019,0.043,0.037,0.037,0.037,0.062,0.056,0.077,0.006,0.039,-0.006,-0.007,0.019,-0.006,-0.003,0.016
1,0.083,0.007,0.064,0.069,0.036,0.09,0.017,0.076,0.05,0.076,0.028,0.047,0.038,0.031,0.054,0.047,0.052,0.071,0.012,0.033,0.002,0.002,0.01,-0.002,-0.003,0.012
1,0.086,0.007,0.065,0.086,0.052,0.072,0.023,0.059,0.056,0.086,0.036,0.054,0.052,0.011,0.045,0.043,0.054,0.07,0.011,0.043,-0.004,-0.004,-0.001,-0.003,0.003,0
1,0.095,0.007,0.044,0.078,0.047,0.109,0.011,0.058,0.06,0.069,0.018,0.055,0.033,0.035,0.042,0.047,0.055,0.08,0.007,0.044,-0.006,-0.004,0.013,-0.007,-0.002,0.012
1,0.093,0,0.035,0.093,0.022,0.109,0.01,0.09,0.074,0.077,0.026,0.022,0.051,0.035,0.035,0.051,0.051,0.074,0,0.035,0.003,0.002,0.018,-0.014,-0.012,0.02
1,0.108,0,0.043,0.074,0.025,0.108,0.012,0.065,0.077,0.08,0.019,0.037,0.059,0.019,0.019,0.053,0.056,0.071,0,0.028,0.005,0.006,0.027,-0.008,-0.011,0.028
1,0.115,0,0.051,0.054,0.015,0.102,0.013,0.069,0.069,0.079,0.026,0.033,0.038,0.031,0.023,0.046,0.059,0.107,0.003,0.028,0.007,0.001,0.023,-0.008,-0.006,0.022
1,0.114,0.003,0.041,0.073,0.021,0.096,0.018,0.062,0.06,0.088,0.026,0.047,0.044,0.036,0.026,0.034,0.062,0.093,0.003,0.031,0.004,0.001,0.018,-0.007,-0.008,0.016
1,0.087,0.005,0.045,0.087,0.013,0.089,0.021,0.095,0.076,0.063,0.024,0.045,0.034,0.042,0.018,0.05,0.055,0.089,0.005,0.034,0.005,0.004,0.016,-0.009,-0.008,0.013
1,0.119,0.011,0.065,0.081,0.019,0.092,0.022,0.086,0.057,0.062,0.019,0.043,0.024,0.019,0.051,0.04,0.054,0.07,0.003,0.051,0.002,0.006,0.013,-0.014,-0.008,0.014
1,0.094,0.006,0.087,0.041,0.031,0.081,0.025,0.091,0.062,0.066,0.031,0.05,0.028,0.025,0.034,0.053,0.053,0.075,0.009,0.034,0.006,0.002,0.009,0.001,-0.003,0.009
1,0.126,0.003,0.054,0.069,0.039,0.075,0.021,0.072,0.063,0.078,0.009,0.042,0.033,0.051,0.024,0.057,0.042,0.09,0.009,0.027,0.007,0,0.007,-0.006,-0.007,0.012
1,0.103,0.006,0.046,0.095,0.046,0.095,0.026,0.04,0.08,0.072,0.02,0.034,0.029,0.049,0.032,0.029,0.034,0.112,0.006,0.029,0.006,0.008,0.007,-0.004,-0.005,0.008
1,0.13,0,0.054,0.097,0.043,0.076,0,0.065,0.13,0.065,0.011,0.054,0.043,0.022,0.043,0.054,0.043,0.065,0,0,-0.003,0.004,0.005,-0.004,0,0.003
1,0.143,0,0.044,0.099,0.044,0.055,0,0.044,0.143,0.066,0.011,0.044,0.044,0.022,0.055,0.055,0.044,0.088,0,0,-0.008,0.004,-0.003,-0.004,0.01,0.001
1,0.068,0.014,0.034,0.074,0.061,0.156,0.054,0.034,0.074,0.047,0.027,0.034,0.054,0.041,0.007,0.041,0.068,0.068,0,0.027,-0.01,-0.007,0.017,-0.005,-0.004,0.027
1,0.087,0,0.075,0.169,0.042,0.066,0.005,0.038,0.103,0.087,0.023,0.033,0.031,0.04,0.028,0.023,0.035,0.092,0.002,0.016,-0.014,0.002,0.002,-0.002,0.014,0.002
1,0.106,0,0.061,0.158,0.043,0.064,0.012,0.057,0.092,0.078,0.021,0.038,0.031,0.028,0.028,0.024,0.047,0.095,0.002,0.019,-0.017,-0.008,0.004,0.003,0.009,0.005
1,0.101,0,0.086,0.124,0.037,0.058,0.012,0.054,0.082,0.07,0.026,0.042,0.03,0.037,0.023,0.044,0.051,0.096,0.002,0.021,-0.006,-0.005,0.01,-0.005,0.003,0.005
1,0.09,0.004,0.065,0.098,0.034,0.09,0.022,0.062,0.05,0.067,0.033,0.034,0.042,0.036,0.054,0.037,0.057,0.08,0.006,0.034,-0.006,-0.001,0.007,0,-0.001,0.005
1,0.085,0.007,0.065,0.101,0.033,0.079,0.023,0.063,0.058,0.062,0.037,0.03,0.039,0.032,0.045,0.055,0.068,0.078,0.004,0.035,-0.008,-0.004,0.006,0.005,0,0.005
1,0.083,0.001,0.063,0.096,0.039,0.077,0.019,0.07,0.056,0.066,0.034,0.032,0.04,0.039,0.05,0.052,0.065,0.079,0.006,0.027,-0.006,-0.001,0.006,0.001,-0.002,0.009
1,0.124,0.007,0.051,0.124,0.041,0.082,0.017,0.058,0.099,0.075,0.041,0.051,0.014,0.031,0.041,0.017,0.055,0.072,0,0.01,-0.003,0.01,0.006,-0.024,-0.009,0.008
1,0.089,0.003,0.058,0.12,0.028,0.062,0.017,0.062,0.103,0.062,0.038,0.048,0.021,0.038,0.034,0.048,0.055,0.103,0,0.021,-0.005,0.009,0.004,-0.019,-0.006,0.006
1,0.099,0.007,0.065,0.127,0.027,0.072,0.014,0.062,0.103,0.062,0.031,0.041,0.014,0.027,0.051,0.031,0.058,0.096,0,0.017,-0.003,0.007,0.004,-0.016,-0.001,0.006
1,0.168,0,0.071,0.091,0.031,0.06,0.014,0.051,0.088,0.074,0.034,0.043,0.02,0.026,0.026,0.034,0.043,0.086,0.003,0.023,-0.007,0.003,0.006,-0.006,-0.001,0.018
1,0.205,0,0.043,0.097,0.054,0.065,0,0.054,0.119,0.054,0.011,0.032,0.022,0.032,0.043,0.032,0.043,0.076,0,0,-0.007,0.002,0.008,0.003,0.005,0.006
1,0.061,0,0.073,0.088,0.027,0.083,0.029,0.08,0.046,0.066,0.027,0.029,0.049,0.024,0.056,0.044,0.075,0.088,0,0.024,-0.001,0.005,0.013,0.002,0.002,0.011
1,0.072,0,0.052,0.124,0.01,0.103,0,0.072,0.083,0.093,0.01,0,0.031,0.01,0.052,0.072,0.041,0.114,0,0.031,0.003,0.008,0.02,-0.006,0.005,-0.002
1,0.072,0,0.062,0.114,0.01,0.093,0,0.072,0.083,0.093,0.01,0.01,0.041,0.01,0.031,0.062,0.072,0.104,0,0.031,0.01,0.009,0.014,-0.006,-0.006,0.005
1,0.039,0,0.079,0.088,0.02,0.079,0.02,0.059,0.059,0.069,0.01,0.01,0.02,0.02,0.049,0.069,0.088,0.167,0,0,0.012,0.02,0.02,-0.005,0.006,0.004
1,0.107,0,0.062,0.096,0.016,0.08,0.004,0.062,0.06,0.078,0.031,0.054,0.027,0.04,0.038,0.043,0.062,0.103,0.002,0.011,-0.001,0.002,0.019,-0.008,0.001,0.014
1,0.126,0,0.058,0.085,0.018,0.086,0.004,0.074,0.061,0.083,0.031,0.038,0.034,0.02,0.04,0.041,0.079,0.092,0.002,0.007,0,0.001,0.02,-0.011,-0.006,0.018
1,0.1,0.009,0.07,0.067,0.039,0.088,0.018,0.049,0.073,0.079,0.024,0.042,0.033,0.03,0.033,0.03,0.1,0.106,0.006,0.021,-0.012,-0.011,0.006,-0.008,-0.005,0.01
1,0.075,0.002,0.083,0.091,0.02,0.072,0.005,0.064,0.084,0.072,0.016,0.045,0.031,0.052,0.033,0.055,0.063,0.08,0,0.013,0.005,0.012,0.015,-0.003,0.012,0.006
1,0.044,0.01,0.054,0.078,0.029,0.064,0.049,0.039,0.054,0.113,0.015,0.083,0.044,0.039,0.029,0.073,0.044,0.064,0.029,0.064,-0.005,-0.005,0.006,-0.006,-0.012,0.004
1,0.102,0,0.054,0.088,0.049,0.073,0.039,0.034,0.063,0.078,0.01,0.073,0.049,0.01,0.029,0.049,0.063,0.054,0.029,0.039,-0.004,-0.007,0.016,0,0,0.012
1,0.081,0,0.05,0.106,0.04,0.06,0.04,0.04,0.076,0.091,0.01,0.081,0.045,0.025,0.02,0.04,0.055,0.071,0.035,0.035,-0.002,0,0.005,-0.002,-0.003,-0.001
1,0.092,0,0.077,0.107,0.107,0.138,0.015,0.031,0.061,0.015,0.015,0.046,0.015,0.092,0.031,0.031,0.031,0.092,0.015,0,-0.005,0.013,-0.008,-0.007,-0.006,0.002
1,0.106,0.009,0.067,0.073,0.033,0.1,0.012,0.067,0.073,0.082,0.009,0.027,0.024,0.015,0.033,0.067,0.045,0.115,0,0.027,-0.001,0.001,0.011,-0.008,-0.007,0.018
1,0.095,0.006,0.072,0.068,0.037,0.078,0.016,0.074,0.058,0.078,0.021,0.041,0.037,0.035,0.041,0.06,0.043,0.056,0.01,0.049,0.007,0.009,0.009,-0.002,-0.006,0.007
1,0.074,0.031,0.071,0.068,0.028,0.091,0.034,0.091,0.08,0.08,0.011,0.026,0.043,0.014,0.017,0.048,0.063,0.091,0.006,0.034,-0.006,-0.005,0.007,-0.009,-0.007,0.018
1,0.115,0.005,0.068,0.096,0.035,0.113,0.009,0.078,0.054,0.068,0.023,0.042,0.026,0.026,0.047,0.045,0.061,0.068,0.007,0.042,-0.008,-0.006,0.009,-0.014,-0.01,-0.001
1,0.135,0,0.071,0.076,0.023,0.105,0.014,0.046,0.032,0.105,0.016,0.025,0.039,0.027,0.046,0.06,0.055,0.073,0.007,0.023,-0.004,-0.005,0.026,-0.003,-0.006,0.014
1,0.105,0.002,0.069,0.094,0.032,0.092,0.014,0.078,0.062,0.064,0.034,0.06,0.028,0.023,0.034,0.053,0.062,0.069,0.005,0.034,-0.005,-0.005,0.008,-0.011,-0.009,0.007
1,0.126,0.011,0.054,0.063,0.037,0.097,0.029,0.052,0.069,0.074,0.02,0.037,0.043,0.034,0.02,0.054,0.043,0.083,0.003,0.034,-0.008,-0.007,0.018,-0.006,-0.003,0.022
1,0.106,0,0.069,0.066,0.026,0.073,0.013,0.056,0.06,0.099,0.03,0.03,0.036,0.053,0.033,0.083,0.05,0.076,0.003,0.02,0.002,0.006,0.012,-0.014,-0.009,0.02
1,0.105,0.007,0.056,0.081,0.025,0.102,0.028,0.081,0.074,0.063,0.035,0.053,0.032,0.025,0.018,0.042,0.049,0.091,0.011,0.032,-0.005,-0.009,0.008,-0.004,-0.012,0.012
1,0.127,0.013,0.054,0.09,0.04,0.097,0.033,0.077,0.07,0.077,0.03,0.05,0.033,0.017,0.02,0.037,0.03,0.074,0.007,0.02,-0.003,-0.005,0.01,-0.003,-0.012,0.016
1,0.116,0.006,0.087,0.038,0.015,0.087,0.015,0.073,0.07,0.102,0.009,0.049,0.038,0.02,0.029,0.052,0.067,0.081,0.009,0.026,-0.007,-0.009,0.011,-0.003,-0.003,0.022
1,0.097,0.012,0.073,0.044,0.038,0.088,0.021,0.062,0.056,0.085,0.012,0.056,0.026,0.026,0.035,0.062,0.085,0.088,0.006,0.026,-0.006,-0.004,0.01,-0.007,-0.005,0.016
1,0.105,0.003,0.063,0.069,0.039,0.102,0.027,0.054,0.066,0.075,0.027,0.042,0.027,0.021,0.036,0.045,0.093,0.093,0.006,0.018,-0.008,-0.006,0.014,-0.011,-0.011,0.009
1,0.103,0.004,0.067,0.059,0.035,0.106,0.016,0.033,0.047,0.083,0.024,0.037,0.067,0.028,0.048,0.048,0.056,0.068,0.032,0.028,-0.004,-0.006,0.016,-0.004,-0.004,0.013
1,0.093,0,0.072,0.064,0.037,0.102,0.019,0.033,0.049,0.081,0.017,0.042,0.066,0.035,0.048,0.054,0.064,0.058,0.032,0.027,0,-0.003,0.01,-0.006,-0.005,0.012
1,0.102,0.003,0.063,0.073,0.027,0.097,0.029,0.048,0.032,0.083,0.017,0.024,0.059,0.027,0.048,0.065,0.062,0.072,0.022,0.025,0.003,0.001,0.014,-0.007,-0.006,0.018
1,0.099,0.003,0.049,0.07,0.035,0.139,0.023,0.075,0.046,0.075,0.02,0.055,0.026,0.012,0.052,0.046,0.049,0.087,0,0.023,-0.003,-0.004,0.02,-0.004,-0.007,0.012
1,0.076,0,0.083,0.066,0.032,0.105,0.017,0.078,0.09,0.081,0.022,0.044,0.034,0.01,0.022,0.061,0.039,0.093,0.005,0.02,0,0.005,0.018,-0.012,-0.002,0.015
1,0.105,0,0.083,0.079,0.035,0.062,0.031,0.053,0.079,0.105,0.013,0.057,0.048,0.026,0.044,0.04,0.035,0.066,0.026,0.035,0,0,0.004,-0.013,-0.011,-0.003
1,0.09,0,0.066,0.075,0.044,0.086,0.013,0.057,0.064,0.075,0.029,0.055,0.031,0.029,0.04,0.062,0.059,0.059,0.009,0.048,0.003,0.004,0.006,-0.008,-0.002,0.007
1,0.13,0.011,0.065,0.08,0.027,0.077,0.011,0.057,0.065,0.065,0.019,0.042,0.034,0.038,0.023,0.065,0.034,0.08,0.011,0.027,0.002,0.004,0.019,0,-0.007,0.015
1,0.119,0.007,0.065,0.051,0.014,0.084,0.016,0.033,0.012,0.103,0.021,0.019,0.061,0.03,0.082,0.051,0.07,0.098,0.005,0.007,0.002,0,0.018,0.01,0.002,0.022
1,0.097,0.002,0.059,0.081,0.034,0.089,0.014,0.083,0.063,0.061,0.032,0.051,0.036,0.022,0.051,0.049,0.067,0.085,0.004,0.012,-0.008,-0.005,0.011,-0.001,-0.001,0.01
1,0.121,0.004,0.081,0.056,0.028,0.071,0.021,0.05,0.024,0.105,0.017,0.024,0.044,0.024,0.08,0.054,0.052,0.08,0.012,0.024,0.003,0.001,0.012,-0.003,-0.001,0.014
1,0.108,0,0.041,0.08,0.022,0.108,0.016,0.115,0.064,0.07,0.016,0.035,0.041,0.032,0.025,0.06,0.057,0.054,0.006,0.029,0.002,0.005,0.012,-0.007,-0.01,0.018
1,0.125,0,0.04,0.07,0.031,0.113,0.018,0.08,0.073,0.076,0.015,0.024,0.043,0.018,0.021,0.052,0.058,0.058,0,0.031,0.001,0.001,0.022,0.001,-0.004,0.029
1,0.151,0.013,0.049,0.047,0.023,0.096,0.026,0.039,0.029,0.096,0.021,0.023,0.047,0.023,0.049,0.042,0.073,0.086,0.005,0.026,0.001,-0.01,0.024,0.005,0.001,0.014
1,0.096,0,0.099,0.059,0.047,0.059,0.016,0.059,0.081,0.093,0.031,0.068,0.031,0.031,0.034,0.028,0.065,0.087,0.006,0.04,-0.012,-0.004,-0.001,-0.014,-0.011,0.01
1,0.1,0.006,0.067,0.088,0.035,0.105,0.02,0.061,0.064,0.085,0.026,0.026,0.035,0.032,0.038,0.041,0.044,0.082,0.006,0.023,-0.001,0.002,0.005,-0.002,0,0.01
1,0.271,0,0.023,0.018,0.018,0.05,0.005,0.018,0.197,0.014,0.009,0.014,0.073,0.018,0.06,0.014,0.083,0.069,0,0,0.012,0.015,0.033,-0.021,-0.003,0.01
1,0.09,0.005,0.063,0.032,0.058,0.116,0.032,0.058,0.037,0.042,0.016,0.048,0.063,0.037,0.037,0.053,0.095,0.058,0,0.021,0.006,0.002,0.02,-0.008,-0.008,0.025
1,0.056,0,0.056,0.088,0.032,0.144,0.016,0.072,0.024,0.072,0.016,0.016,0.08,0.024,0.056,0.032,0.056,0.08,0.016,0.024,0.007,-0.011,0.018,0.007,0.003,0.013
1,0.13,0,0.087,0.102,0.032,0.056,0.009,0.037,0.03,0.095,0.006,0.019,0.048,0.065,0.071,0.067,0.052,0.089,0,0.013,-0.018,-0.004,0.004,-0.001,0.002,0.008
1,0.1,0,0.083,0.14,0.031,0.055,0.011,0.05,0.048,0.098,0.011,0.022,0.044,0.063,0.052,0.052,0.065,0.089,0,0.009,-0.017,-0.005,0.002,-0.009,0.005,0.001
1,0.098,0,0.103,0.123,0.029,0.047,0.011,0.047,0.103,0.067,0.018,0.036,0.034,0.06,0.027,0.034,0.042,0.076,0.004,0.025,-0.005,0.01,0.002,0,0.01,0
1,0.183,0,0.079,0.09,0.025,0.064,0.007,0.036,0.086,0.09,0.007,0.029,0.021,0.029,0.054,0.018,0.054,0.093,0,0.021,-0.002,0,0.018,-0.008,0,0.007
1,0.122,0.003,0.084,0.105,0.027,0.064,0.014,0.057,0.108,0.051,0.024,0.037,0.014,0.03,0.03,0.051,0.041,0.115,0.003,0.007,-0.006,0.013,0.016,-0.015,-0.006,0.01
1,0.166,0,0.049,0.117,0.04,0.06,0.017,0.052,0.092,0.077,0.023,0.034,0.017,0.031,0.023,0.037,0.057,0.077,0.003,0.006,-0.002,0.003,0.015,-0.008,0.001,0.012
1,0.078,0,0.068,0.083,0.033,0.083,0.028,0.055,0.053,0.065,0.028,0.035,0.05,0.035,0.06,0.015,0.09,0.115,0.003,0.018,-0.005,0.004,0.01,-0.008,-0.004,0.008
1,0.066,0,0.076,0.088,0.032,0.091,0.037,0.061,0.054,0.066,0.027,0.02,0.044,0.025,0.047,0.027,0.076,0.108,0,0.025,0.003,0.006,0.015,-0.001,-0.004,0.011
1,0.156,0,0.102,0.049,0.005,0.029,0.019,0.015,0.068,0.088,0.019,0.024,0.039,0.097,0.034,0.034,0.093,0.083,0,0.015,0.003,0.014,0.01,-0.01,-0.002,0.015
